Versenyszám,Nem,Év,Helyezés,Név,Futó_név,Klub,Eredmény_sec
400 m,M,2009,2,Takács Dávid VEDAC,Takács Dávid,VEDAC,47.11
400 m,M,2009,3,Molnár Balázs Alba Regia AK,Molnár Balázs,Alba Regia AK,47.53
400 m,M,2010,1,Deák Nagy Marcell Gödöllői EAC,Deák Nagy Marcell,Gödöllői EAC,46.28
400 m,M,2010,2,Kovács Zoltán Mohácsi TE,Kovács Zoltán,Mohácsi TE,47.35
400 m,M,2010,3,Lukács Máté Favorit AC Kaposvár,Lukács Máté,Favorit AC Kaposvár,47.52
400 m,M,2011,1,Deák Nagy Marcell Gödöllői EAC,Deák Nagy Marcell,Gödöllői EAC,46.41
400 m,M,2011,2,Lukács Máté Favorit AC Kaposvár,Lukács Máté,Favorit AC Kaposvár,47.09
400 m,M,2011,3,Kása Tibor Haladás,Kása Tibor,Haladás,47.23
400 m,M,2012,1,Deák Nagy Marcell Gödöllői EAC,Deák Nagy Marcell,Gödöllői EAC,45.93
400 m,M,2012,2,Kása Tibor Haladás VSE,Kása Tibor,Haladás VSE,47.12
400 m,M,2012,3,Kovács Zoltán Gödöllői EAC,Kovács Zoltán,Gödöllői EAC,47.5
400 m,M,2013,1,Kása Tibor Haladás VSE,Kása Tibor,Haladás VSE,46.71
400 m,M,2013,2,Kovács Zoltán Gödöllői EAC,Kovács Zoltán,Gödöllői EAC,47.42
400 m,M,2013,3,Móricz Bálint Haladás VSE,Móricz Bálint,Haladás VSE,47.72
400 m,M,2014,1,Móricz Bálint Haladás VSE,Móricz Bálint,Haladás VSE,46.63
400 m,M,2014,2,Deák Nagy Marcell Gödöllői EAC,Deák Nagy Marcell,Gödöllői EAC,46.86
400 m,M,2014,3,Lukács Máté Favorit AC,Lukács Máté,Favorit AC,47.9
400 m,M,2015,1,Kovács Zoltán Gödöllői EAC,Kovács Zoltán,Gödöllői EAC,47.45
400 m,M,2015,2,Móricz Bálint Haladás VSE,Móricz Bálint,Haladás VSE,47.73
400 m,M,2015,3,Lukács Bálint Favorit AC,Lukács Bálint,Favorit AC,48.27
400 m,M,2016,1,Deák Nagy Marcell Gödöllői EAC,Deák Nagy Marcell,Gödöllői EAC,46.77
400 m,M,2016,2,Boda Boldizsár Haladás VSE,Boda Boldizsár,Haladás VSE,48.3
400 m,M,2016,3,Szilágyi Gábor Győri AC,Szilágyi Gábor,Győri AC,48.7
400 m,M,2017,1,Deák Nagy Marcell Bp. Honvéd,Deák Nagy Marcell,Bp. Honvéd,47.55
400 m,M,2017,2,Jagodics Dennis Haladás VSE,Jagodics Dennis,Haladás VSE,48.22
400 m,M,2017,3,Boda Boldizsár Haladás VSE,Boda Boldizsár,Haladás VSE,48.5
400 m,M,2018,1,Boda Boldizsár Haladás VSE,Boda Boldizsár,Haladás VSE,47.98
400 m,M,2018,2,Együd Máté TFSE,Együd Máté,TFSE,48.06
400 m,M,2018,3,Tasi Tibor Nyíregyházi SC,Tasi Tibor,Nyíregyházi SC,48.77
400 m,M,2019,1,Koroknai Tibor Debreceni SC-SI,Koroknai Tibor,Debreceni SC-SI,47.72
400 m,M,2019,2,Huller Dániel  Dunakeszi VSE,Huller Dániel,Dunakeszi VSE,47.73
400 m,M,2019,3,Varga Lőrinc AC Bonyhád,Varga Lőrinc,AC Bonyhád,48.32
400 m,M,2020,1,Ajide Dániel Gödöllői EAC,Ajide Dániel,Gödöllői EAC,47.55
400 m,M,2020,2,Pozsgai Dániel Újpesti TE,Pozsgai Dániel,Újpesti TE,47.68
400 m,M,2020,3,Molnár Attila Sportolj Velünk SE,Molnár Attila,Sportolj Velünk SE,47.99
400 m,M,2021,1,Molnár Attila Sportolj Velünk SE,Molnár Attila,Sportolj Velünk SE,47.08
400 m,M,2021,2,Enyingi Patrik Ferencvárosi TC,Enyingi Patrik,Ferencvárosi TC,47.74
400 m,M,2021,3,Steigerwald Ernő Békéscsabai AC,Steigerwald Ernő,Békéscsabai AC,48.12
400 m,M,2022,1,Molnár Attila Ferencvárosi TC,Molnár Attila,Ferencvárosi TC,47.01
400 m,M,2022,2,Ajide Dániel Ferencvárosi TC,Ajide Dániel,Ferencvárosi TC,47.06
400 m,M,2022,3,Wahl Zoltán Budafoki MTE,Wahl Zoltán,Budafoki MTE,47.14
400 m,M,2023,1,Wahl Zoltán TSC-Geotech,Wahl Zoltán,TSC-Geotech,46.32
400 m,M,2023,2,Steigerwald Ernő Békéscsabai AC,Steigerwald Ernő,Békéscsabai AC,46.63
400 m,M,2023,3,Huller Dániel Gellért VS Dunakeszi,Huller Dániel,Gellért VS Dunakeszi,47.13
400 m,M,2024,1,Molnár Attila Ferencvárosi TC,Molnár Attila,Ferencvárosi TC,45.4
400 m,M,2024,2,Enyingi Patrik MATE-GEAC,Enyingi Patrik,MATE-GEAC,46.0
400 m,M,2024,3,Kovács Árpád Szegedi VSE,Kovács Árpád,Szegedi VSE,46.32
400 m,M,2025,1,Molnár Attila Ferencvárosi TC,Molnár Attila,Ferencvárosi TC,45.28
400 m,M,2025,2,Csahóczi Csanád Újpesti TE,Csahóczi Csanád,Újpesti TE,46.75
400 m,M,2025,3,Szilveszter Marcell Újpesti TE,Szilveszter Marcell,Újpesti TE,46.91
400 m,W,1952,1,Bokori Teréz Honvéd SE,Bokori Teréz,Honvéd SE,59.2
400 m,W,1952,2,Oros Ágnes Honvéd SE,Oros Ágnes,Honvéd SE,59.6
400 m,W,1952,3,Bende Franciska Bástya SE,Bende Franciska,Bástya SE,60.9
400 m,W,1953,1,Bokori Teréz Budapest,Bokori Teréz,Budapest,58.2
400 m,W,1953,2,Bleha Anna Budapest,Bleha Anna,Budapest,59.4
400 m,W,1953,3,Hazucha Zsuzsa Budapest,Hazucha Zsuzsa,Budapest,59.6
400 m,W,1954,1,Kazi Aranka Lokomotív SE,Kazi Aranka,Lokomotív SE,56.6
400 m,W,1954,2,Suták Anna Lokomotív,Suták Anna,Lokomotív,58.1
400 m,W,1954,3,Bokori Teréz Honvéd,Bokori Teréz,Honvéd,59.0
400 m,W,1955,1,Kazi Aranka Bp. Törekvés,Kazi Aranka,Bp. Törekvés,57.4
400 m,W,1955,2,Suták Anna Szegedi Törekvés,Suták Anna,Szegedi Törekvés,58.7
400 m,W,1955,3,Bende Franciska Bp. Vörös Lobogó,Bende Franciska,Bp. Vörös Lobogó,59.1
400 m,W,1956,1,Kazi Aranka Bp. Törekvés,Kazi Aranka,Bp. Törekvés,57.6
400 m,W,1956,2,Suták Anna Törekvés,Suták Anna,Törekvés,58.0
400 m,W,1956,3,Végh Erika Törekvés,Végh Erika,Törekvés,58.1
400 m,W,1957,1,Kazi Aranka BVSC,Kazi Aranka,BVSC,56.9
400 m,W,1957,2,Sasvári Gizella Nagykanizsai Bányász,Sasvári Gizella,Nagykanizsai Bányász,57.2
400 m,W,1957,3,Bánsági Teréz Újpesti Dózsa,Bánsági Teréz,Újpesti Dózsa,57.7
400 m,W,1958,1,Németh Ida Újpesti Dózsa,Németh Ida,Újpesti Dózsa,56.0
400 m,W,1958,2,Munkácsi Antónia Magyar Posztó,Munkácsi Antónia,Magyar Posztó,57.9
400 m,W,1958,3,Molnár Rózsa Előre,Molnár Rózsa,Előre,58.6
400 m,W,1959,1,Németh Ida Újpesti Dózsa,Németh Ida,Újpesti Dózsa,55.8
400 m,W,1959,2,Kazi Olga MAFC,Kazi Olga,MAFC,55.9
400 m,W,1959,3,Végh Postás,Végh Postás,,58.0
400 m,W,1960,1,Kazi Olga MAFC,Kazi Olga,MAFC,55.5
400 m,W,1960,2,Németh Ida Újpesti Dózsa,Németh Ida,Újpesti Dózsa,56.0
400 m,W,1960,3,Bánsági Teréz Újpesti Dózsa,Bánsági Teréz,Újpesti Dózsa,57.4
400 m,W,1961,1,Németh Ida Újpesti Dózsa,Németh Ida,Újpesti Dózsa,56.6
400 m,W,1961,2,Kazi Olga MAFC,Kazi Olga,MAFC,56.9
400 m,W,1961,3,Bártfai Viola BEAC,Bártfai Viola,BEAC,59.0
400 m,W,1962,1,Munkácsi Antónia Magyar Pamut,Munkácsi Antónia,Magyar Pamut,55.7
400 m,W,1962,2,Kazi Olga MAFC,Kazi Olga,MAFC,56.3
400 m,W,1962,3,Gerhardt Zsuzsa BEAC,Gerhardt Zsuzsa,BEAC,56.5
400 m,W,1963,1,Kazi Olga MAFC,Kazi Olga,MAFC,54.9
400 m,W,1963,2,Munkácsi Antónia Vasas Izzó,Munkácsi Antónia,Vasas Izzó,55.1
400 m,W,1963,3,Takács Katalin Újpesti Dózsa,Takács Katalin,Újpesti Dózsa,57.6
400 m,W,1964,1,Munkácsi Antónia Vasas Izzó,Munkácsi Antónia,Vasas Izzó,56.0
400 m,W,1964,2,Nagy Zsuzsa BEAC,Nagy Zsuzsa,BEAC,56.7
400 m,W,1964,3,Kazi Olga MAFC,Kazi Olga,MAFC,58.3
400 m,W,1965,1,Nagy Zsuzsa BEAC,Nagy Zsuzsa,BEAC,55.8
400 m,W,1965,2,Munkácsi Antónia Bp. Vasas Izzó,Munkácsi Antónia,Bp. Vasas Izzó,56.5
400 m,W,1965,3,Kazi Olga Bp. Honvéd,Kazi Olga,Bp. Honvéd,55.6
400 m,W,1966,1,Nagy Zsuzsa BEAC,Nagy Zsuzsa,BEAC,55.8
400 m,W,1966,2,Munkácsi Antónia Bp. Vasas Izzó,Munkácsi Antónia,Bp. Vasas Izzó,56.7
400 m,W,1966,3,Gulyás Erzsébet BEAC,Gulyás Erzsébet,BEAC,59.1
400 m,W,1967,1,Munkácsi Antónia Vasas Izzó,Munkácsi Antónia,Vasas Izzó,54.6
400 m,W,1967,2,Nagy Zsuzsa BEAC,Nagy Zsuzsa,BEAC,56.8
400 m,W,1967,3,Szenteleki Sára Szombathelyi Haladás,Szenteleki Sára,Szombathelyi Haladás,57.2
400 m,W,1968,1,Lázár Magdolna Debreceni VSC,Lázár Magdolna,Debreceni VSC,56.5
400 m,W,1968,2,Velekei Márta Bp. Építők,Velekei Márta,Bp. Építők,57.6
400 m,W,1968,3,Nagy Zsuzsa BEAC,Nagy Zsuzsa,BEAC,58.0
400 m,W,1969,1,Kulcsár Magdolna Bp. Építők,Kulcsár Magdolna,Bp. Építők,56.4
400 m,W,1969,2,Séfer Rozália Szombathelyi Haladás,Séfer Rozália,Szombathelyi Haladás,57.0
400 m,W,1969,3,Velekei Márta Bp. Építők,Velekei Márta,Bp. Építők,57.9
400 m,W,1970,1,Séfer Rozália Szombathelyi Haladás,Séfer Rozália,Szombathelyi Haladás,55.6
400 m,W,1970,2,Lázár Magdolna Debreceni Építők,Lázár Magdolna,Debreceni Építők,56.3
400 m,W,1970,3,Pusztai Éva Bp. Vasas,Pusztai Éva,Bp. Vasas,56.7
400 m,W,1971,1,Balogh Györgyi Bp. Vasas,Balogh Györgyi,Bp. Vasas,52.7
400 m,W,1971,2,Orosz Irén Újpesti Dózsa,Orosz Irén,Újpesti Dózsa,56.1
400 m,W,1971,3,Könye Irma Bp. Honvéd,Könye Irma,Bp. Honvéd,56.8
400 m,W,1972,1,Balogh Györgyi Bp. Vasas,Balogh Györgyi,Bp. Vasas,53.0
400 m,W,1972,2,Orosz Irén Újpesti Dózsa,Orosz Irén,Újpesti Dózsa,55.3
400 m,W,1972,3,Pusztai Éva Bp. Vasas,Pusztai Éva,Bp. Vasas,55.7
400 m,W,1973,1,Havas Judit Bp. Vasas,Havas Judit,Bp. Vasas,54.0
400 m,W,1973,2,Pusztai Éva Újpesti Dózsa,Pusztai Éva,Újpesti Dózsa,55.1
400 m,W,1973,3,Könye Irma Bp. HonvédBalogh Györgyi Bp. Vasas,Könye Irma,Bp. HonvédBalogh Györgyi Bp. Vasas,55.7
400 m,W,1974,1,Orosz Irén Újpesti Dózsa,Orosz Irén,Újpesti Dózsa,53.3
400 m,W,1974,2,Tóth Éva Bp. Honvéd,Tóth Éva,Bp. Honvéd,54.3
400 m,W,1974,3,Könye Irma Bp. Honvéd,Könye Irma,Bp. Honvéd,54.8
400 m,W,1975,1,Tóth Éva Bp. Honvéd,Tóth Éva,Bp. Honvéd,52.9
400 m,W,1975,2,Havas Judit Bp. Vasas,Havas Judit,Bp. Vasas,53.7
400 m,W,1975,3,Séfer Rozália Szombathelyi Haladás,Séfer Rozália,Szombathelyi Haladás,54.3
400 m,W,1976,1,Tóth Éva Bp. Honvéd,Tóth Éva,Bp. Honvéd,54.4
400 m,W,1976,2,Séfer Rozália Szombathelyi Haladás,Séfer Rozália,Szombathelyi Haladás,54.8
400 m,W,1976,3,Sebők Klára Bp. Vasas,Sebők Klára,Bp. Vasas,55.2
400 m,W,1977,1,Forgács Judit Bp. Honvéd,Forgács Judit,Bp. Honvéd,53.44
400 m,W,1977,2,Séfer Rozália Szombathelyi Haladás,Séfer Rozália,Szombathelyi Haladás,53.74
400 m,W,1977,3,Pál Ilona Hatvani Kinizsi,Pál Ilona,Hatvani Kinizsi,53.75
400 m,W,1978,1,Pál Ilona Hatvani Kinizsi,Pál Ilona,Hatvani Kinizsi,52.63
400 m,W,1978,2,Mohácsi Éva Bp. Honvéd,Mohácsi Éva,Bp. Honvéd,52.81
400 m,W,1978,3,Orosz Irén Újpesti Dózsa,Orosz Irén,Újpesti Dózsa,53.32
400 m,W,1979,1,Pál Ilona Hatvani Kinizsi,Pál Ilona,Hatvani Kinizsi,52.87
400 m,W,1979,2,Tóth Éva Bp. Honvéd,Tóth Éva,Bp. Honvéd,53.23
400 m,W,1979,3,Forgács Judit TFSE,Forgács Judit,TFSE,53.51
400 m,W,1980,1,Pál Ilona Hatvani Kinizsi,Pál Ilona,Hatvani Kinizsi,52.46
400 m,W,1980,2,Tóth Éva Bp. Honvéd,Tóth Éva,Bp. Honvéd,53.42
400 m,W,1980,3,Forgács Judit TFSE,Forgács Judit,TFSE,53.53
400 m,W,1981,1,Petrika Ibolya Nyíregyházi VSSC,Petrika Ibolya,Nyíregyházi VSSC,52.8
400 m,W,1981,2,Forgács Judit TFSE,Forgács Judit,TFSE,53.13
400 m,W,1981,3,Váczi Éva Csepel SC,Váczi Éva,Csepel SC,54.15
400 m,W,1982,1,Forgács Judit Tatabányai Bányász,Forgács Judit,Tatabányai Bányász,52.47
400 m,W,1982,2,Pál Ilona Hatvani Kinizsi,Pál Ilona,Hatvani Kinizsi,53.63
400 m,W,1982,3,Petrika Ibolya Nyíregyházi VSSC,Petrika Ibolya,Nyíregyházi VSSC,54.22
400 m,W,1983,1,Forgács Judit Tatabányai Bányász,Forgács Judit,Tatabányai Bányász,52.16
400 m,W,1983,2,Pál Ilona Hatvan,Pál Ilona,Hatvan,53.69
400 m,W,1983,3,Petrika Ilona Nyíregyházi VSSC,Petrika Ilona,Nyíregyházi VSSC,53.97
400 m,W,1984,1,Petrika Ibolya Nyíregyházi VSSC,Petrika Ibolya,Nyíregyházi VSSC,52.6
400 m,W,1984,2,Szopori Erika SZEOL AK,Szopori Erika,SZEOL AK,53.27
400 m,W,1984,3,Szabó Erzsébet SZEOL AK,Szabó Erzsébet,SZEOL AK,53.36
400 m,W,1985,1,Petrika Ibolya Nyíregyházi VSSC,Petrika Ibolya,Nyíregyházi VSSC,52.45
400 m,W,1985,2,Pál Ilona Hatvani Kinizsi,Pál Ilona,Hatvani Kinizsi,52.89
400 m,W,1985,3,Szabó Erzsébet SZEOL-DÉLÉP,Szabó Erzsébet,SZEOL-DÉLÉP,52.95
400 m,W,1986,1,Forgács Judit Tatabányai Bányász,Forgács Judit,Tatabányai Bányász,51.81
400 m,W,1986,2,Pál Ilona Hatvani Kinizsi,Pál Ilona,Hatvani Kinizsi,52.51
400 m,W,1986,3,Petrika Ibolya Nyíregyházi VSSC,Petrika Ibolya,Nyíregyházi VSSC,53.81
400 m,W,1987,1,Szabó Erzsébet Szeged SC,Szabó Erzsébet,Szeged SC,52.61
400 m,W,1987,2,Forgács Judit Tatabányai Bányász,Forgács Judit,Tatabányai Bányász,52.79
400 m,W,1987,3,Szopori Erika Szeged SC,Szopori Erika,Szeged SC,53.76
400 m,W,1988,1,Szabó Erzsébet Szeged SC,Szabó Erzsébet,Szeged SC,52.3
400 m,W,1988,2,Forgács Judit Tatabányai Bányász,Forgács Judit,Tatabányai Bányász,53.7
400 m,W,1988,3,Kozári Ágnes Zalaegerszegi TE,Kozári Ágnes,Zalaegerszegi TE,54.3
400 m,W,1989,1,Forgács Judit Tatabányai Bányász,Forgács Judit,Tatabányai Bányász,51.72
400 m,W,1989,2,Szabó Erzsébet Szeged,Szabó Erzsébet,Szeged,53.18
400 m,W,1989,3,Bátori Noémi MTK-VM,Bátori Noémi,MTK-VM,53.59
400 m,W,1990,1,Forgács Judit Tatabányai Bányász SC,Forgács Judit,Tatabányai Bányász SC,52.52
400 m,W,1990,2,Bátori Noémi MTK-VM,Bátori Noémi,MTK-VM,52.72
400 m,W,1990,3,Szabó Erzsébet Szeged,Szabó Erzsébet,Szeged,53.82
400 m,W,1991,1,Forgács Judit Tatabányai Bányász,Forgács Judit,Tatabányai Bányász,52.43
400 m,W,1991,2,Bátori Noémi MTK-VM,Bátori Noémi,MTK-VM,53.39
400 m,W,1991,3,Szabó Erzsébet Szeged SC,Szabó Erzsébet,Szeged SC,54.48
400 m,W,1992,1,Forgács Judit Tatabányai Bányász,Forgács Judit,Tatabányai Bányász,53.99
400 m,W,1992,2,Barati Éva Bp. Honvéd,Barati Éva,Bp. Honvéd,54.48
400 m,W,1993,1,Mádai Mónika Zalaegerszegi AC,Mádai Mónika,Zalaegerszegi AC,53.81
400 m,W,1993,2,Kurucz Andrea Újpesti TE,Kurucz Andrea,Újpesti TE,55.2
400 m,W,1993,3,Végh Anett Ajka,Végh Anett,Ajka,55.54
400 m,W,1994,1,Mádai Mónika Zalaegerszegi AC,Mádai Mónika,Zalaegerszegi AC,54.02
400 m,W,1994,2,Szekeres Judit Szolnoki MÁV MTE,Szekeres Judit,Szolnoki MÁV MTE,54.58
400 m,W,1994,3,Bori Annamária Testvériség,Bori Annamária,Testvériség,55.07
400 m,W,1995,1,Szekeres Judit Szolnoki MÁV MTE,Szekeres Judit,Szolnoki MÁV MTE,54.03
400 m,W,1995,2,Mádai Mónika Zalaegerszegi AC,Mádai Mónika,Zalaegerszegi AC,54.47
400 m,W,1995,3,Kurucz Andrea Újpesti TE,Kurucz Andrea,Újpesti TE,55.47
400 m,W,1996,1,Petráhn Barbara Győri Dózsa,Petráhn Barbara,Győri Dózsa,54.04
400 m,W,1996,2,Szekeres Judit Szolnoki MÁV MTE,Szekeres Judit,Szolnoki MÁV MTE,54.1
400 m,W,1996,3,Mádai Mónika Zalaegerszegi AC,Mádai Mónika,Zalaegerszegi AC,54.79
400 m,W,1997,1,Szekeres Judit Szolnoki MÁV,Szekeres Judit,Szolnoki MÁV,53.0
400 m,W,1997,2,Bori Annamária MTK,Bori Annamária,MTK,53.85
400 m,W,1997,3,Kun Alice Békéscsabai AC,Kun Alice,Békéscsabai AC,54.15
400 m,W,1998,1,Szekeres Judit Szolnoki MÁV,Szekeres Judit,Szolnoki MÁV,53.08
400 m,W,1998,2,Petráhn Barbara Győri Dózsa,Petráhn Barbara,Győri Dózsa,53.62
400 m,W,1998,3,Kun Alice Békéscsabai AC,Kun Alice,Békéscsabai AC,53.77
400 m,W,1999,1,Szekeres Judit Szolnoki MÁV,Szekeres Judit,Szolnoki MÁV,53.59
400 m,W,1999,2,Petráhn Barbara Győri Dózsa,Petráhn Barbara,Győri Dózsa,54.02
400 m,W,1999,3,Balazsic Renáta Zalaegerszegi AC,Balazsic Renáta,Zalaegerszegi AC,54.02
400 m,W,2000,1,Petráhn Barbara Győri Dózsa,Petráhn Barbara,Győri Dózsa,52.05
400 m,W,2000,2,Gróf Andrea Zalaegerszegi AC,Gróf Andrea,Zalaegerszegi AC,54.86
400 m,W,2000,3,Balazsic Renáta Zalaegerszegi AC,Balazsic Renáta,Zalaegerszegi AC,54.96
400 m,W,2001,1,Kun Alice Békéscsabai AC,Kun Alice,Békéscsabai AC,53.04
400 m,W,2001,2,Petráhn Barbara Győri Dózsa,Petráhn Barbara,Győri Dózsa,53.21
400 m,W,2001,3,Bobcsek Emese Békéscsabai AC,Bobcsek Emese,Békéscsabai AC,56.45
400 m,W,2002,1,Petráhn Barbara Győri Dózsa,Petráhn Barbara,Győri Dózsa,53.47
400 m,W,2002,2,Kun Alice Békéscsabai AC,Kun Alice,Békéscsabai AC,53.88
400 m,W,2002,3,Bobcsek Emese Békéscsabai AC,Bobcsek Emese,Békéscsabai AC,56.03
400 m,W,2003,1,Petráhn Barbara Győri Dózsa,Petráhn Barbara,Győri Dózsa,54.46
400 m,W,2003,2,Cziráki Kitty VEDAC,Cziráki Kitty,VEDAC,55.15
400 m,W,2003,3,Bori Annamária Bp. Honvéd,Bori Annamária,Bp. Honvéd,55.81
400 m,W,2004,1,Petráhn Barbara Zalaegerszegi AC,Petráhn Barbara,Zalaegerszegi AC,52.78
400 m,W,2004,2,Kun Alice Békéscsabai AC,Kun Alice,Békéscsabai AC,53.95
400 m,W,2004,3,Varga Bianka Bp. Honvéd,Varga Bianka,Bp. Honvéd,54.66
400 m,W,2005,1,Petráhn Barbara Zalaegerszegi AC,Petráhn Barbara,Zalaegerszegi AC,52.92
400 m,W,2005,2,Varga Fruzsina Alba Regia AK,Varga Fruzsina,Alba Regia AK,55.11
400 m,W,2005,3,Bobcsek Emese Gödöllői EAC,Bobcsek Emese,Gödöllői EAC,55.53
400 m,W,2006,1,Petráhn Barbara Zalaegerszegi AC,Petráhn Barbara,Zalaegerszegi AC,52.19
400 m,W,2006,2,Varga Bianka Bp. Honvéd,Varga Bianka,Bp. Honvéd,55.35
400 m,W,2006,3,Nemes Rita MISI SC,Nemes Rita,MISI SC,55.95
400 m,W,2007,1,Petráhn Barbara Szolnoki MÁV,Petráhn Barbara,Szolnoki MÁV,52.68
400 m,W,2007,2,Nemes Rita MISI SC,Nemes Rita,MISI SC,54.94
400 m,W,2007,3,Somogyvári Mónika Újpesti TE,Somogyvári Mónika,Újpesti TE,55.88
400 m,W,2008,1,Petráhn Barbara Szolnoki MÁV,Petráhn Barbara,Szolnoki MÁV,52.34
400 m,W,2008,2,Zsigovics Natália Alba Regia AK,Zsigovics Natália,Alba Regia AK,54.04
400 m,W,2008,3,Varga Bianka Bp. Honvéd,Varga Bianka,Bp. Honvéd,55.61
400 m,W,2009,1,Varga Bianka Bp. Honvéd,Varga Bianka,Bp. Honvéd,53.38
400 m,W,2009,2,Petráhn Barbara Szolnoki MÁV,Petráhn Barbara,Szolnoki MÁV,53.56
400 m,W,2009,3,Loránd Lilla VEDAC,Loránd Lilla,VEDAC,55.52
400 m,W,2010,1,Petráhn Barbara Szolnoki MÁV,Petráhn Barbara,Szolnoki MÁV,52.73
400 m,W,2010,2,Varga Bianka Bp. Honvéd,Varga Bianka,Bp. Honvéd,54.93
400 m,W,2010,3,Loránd Lilla VEDAC,Loránd Lilla,VEDAC,55.34
400 m,W,2011,1,Petráhn Barbara Szekszárdi AK,Petráhn Barbara,Szekszárdi AK,53.56
400 m,W,2011,2,Varga Bianka Bp. Honvéd,Varga Bianka,Bp. Honvéd,54.66
400 m,W,2011,3,Kéri Bianka VEDAC,Kéri Bianka,VEDAC,55.22
400 m,W,2012,1,Kéri Bianka VEDAC,Kéri Bianka,VEDAC,53.42
400 m,W,2012,2,Petráhn Barbara Szekszárdi AK,Petráhn Barbara,Szekszárdi AK,54.67
400 m,W,2012,3,Kálmán Csenge Gödöllői EAC,Kálmán Csenge,Gödöllői EAC,56.18
400 m,W,2013,1,Zsigovics Natália Alba Regia AK,Zsigovics Natália,Alba Regia AK,54.05
400 m,W,2013,2,Kéri Bianka VEDAC,Kéri Bianka,VEDAC,54.82
400 m,W,2013,3,Kálmán Csenge Gödöllői EAC,Kálmán Csenge,Gödöllői EAC,56.22
400 m,W,2014,1,Kéri Bianka VEDAC,Kéri Bianka,VEDAC,54.24
400 m,W,2014,2,Kálmán Csenge Gödöllői EAC,Kálmán Csenge,Gödöllői EAC,56.3
400 m,W,2014,3,Sárkány Fanni Debreceni SC-SI,Sárkány Fanni,Debreceni SC-SI,56.47
400 m,W,2015,1,Kéri Bianka Veszprémi EDAC,Kéri Bianka,Veszprémi EDAC,54.74
400 m,W,2015,2,Nádházy Evelin Postás SE,Nádházy Evelin,Postás SE,55.72
400 m,W,2015,3,Budai Boglárka Alba Regia AK,Budai Boglárka,Alba Regia AK,57.21
400 m,W,2016,1,Kéri Bianka VEDAC,Kéri Bianka,VEDAC,53.94
400 m,W,2016,2,Nádházy Evelin Bp. Honvéd,Nádházy Evelin,Bp. Honvéd,54.17
400 m,W,2016,3,Osváth Krisztina Nyíregyházi SC,Osváth Krisztina,Nyíregyházi SC,55.67
400 m,W,2017,1,Nádházy Evelin Bp. Honvéd,Nádházy Evelin,Bp. Honvéd,54.0
400 m,W,2017,2,Osváth Krisztina Nyíregyházi SC,Osváth Krisztina,Nyíregyházi SC,54.7
400 m,W,2017,3,Molnár Janka Budafoki MTE,Molnár Janka,Budafoki MTE,54.9
400 m,W,2018,1,Molnár Janka Budafoki MTE,Molnár Janka,Budafoki MTE,55.29
400 m,W,2018,2,Répássy Hanna Győri AC,Répássy Hanna,Győri AC,56.22
400 m,W,2018,3,Simon Virág Győri AC,Simon Virág,Győri AC,57.16
400 m,W,2019,1,Nádházy Evelin Gödöllői EAC,Nádházy Evelin,Gödöllői EAC,53.06
400 m,W,2019,2,Molnár Janka Budafoki MTE,Molnár Janka,Budafoki MTE,53.85
400 m,W,2019,3,Répássy Hanna Horn-Bercsényi DSE,Répássy Hanna,Horn-Bercsényi DSE,55.27
400 m,W,2020,1,Molnár Janka Budafoki MTE,Molnár Janka,Budafoki MTE,53.25
400 m,W,2020,2,Nádházy Evelin Gödöllői EAC,Nádházy Evelin,Gödöllői EAC,53.84
400 m,W,2020,3,Mátó Sára Alba Regia AK,Mátó Sára,Alba Regia AK,54.39
400 m,W,2021,1,Nádházy Evelin Gödöllői EAC,Nádházy Evelin,Gödöllői EAC,53.0
400 m,W,2021,2,Molnár Janka Budafoki MTE,Molnár Janka,Budafoki MTE,53.24
400 m,W,2021,3,Répássy Hanna MTK,Répássy Hanna,MTK,55.56
400 m,W,2022,1,Nádházy Evelin MATE-GEAC,Nádházy Evelin,MATE-GEAC,54.32
400 m,W,2022,2,Simon Virág MATE-GEAC,Simon Virág,MATE-GEAC,54.89
400 m,W,2022,3,Rapai Fanni Ikarus BSE,Rapai Fanni,Ikarus BSE,54.96
400 m,W,2023,1,Bartha-Kéri Bianka Sportolj Velünk SE,Bartha-Kéri Bianka,Sportolj Velünk SE,52.61
400 m,W,2023,2,Rapai Fanni Ikarus BSE,Rapai Fanni,Ikarus BSE,53.32
400 m,W,2023,3,Nádházy Evelin MATE-GEAC,Nádházy Evelin,MATE-GEAC,53.33
400 m,W,2024,1,Kriszt Sarolta MATE-GEAC,Kriszt Sarolta,MATE-GEAC,52.26
400 m,W,2024,2,Szentgyörgyi Zita MTK Budapest,Szentgyörgyi Zita,MTK Budapest,53.23
400 m,W,2024,3,Simon Virág MATE-GEAC,Simon Virág,MATE-GEAC,53.58
400 m,W,2025,1,Molnár Janka Tatabánya SC,Molnár Janka,Tatabánya SC,52.97
400 m,W,2025,2,Simon Virág MATE-GEAC,Simon Virág,MATE-GEAC,54.12
400 m,W,2025,3,Kéri Bianka Sportolj Velünk SE,Kéri Bianka,Sportolj Velünk SE,54.42
400 m gát,M,1945,1,Kiss József Törekvés,Kiss József,Törekvés,58.5
400 m gát,M,1945,2,Kalotai Vilmos Bp. Vasas,Kalotai Vilmos,Bp. Vasas,60.0
400 m gát,M,1945,3,Pálffi Tihamér MTK,Pálffi Tihamér,MTK,60.5
