Versenyszám,Nem,Év,Helyezés,Név,Futó_név,Klub,Eredmény_sec
10 000 m,M,1970,1,Mecser Lajos Salgótarjáni BTC,Mecser Lajos,Salgótarjáni BTC,1754.8
10 000 m,M,1970,2,Simon Dénes Bp. Spartacus,Simon Dénes,Bp. Spartacus,1776.0
10 000 m,M,1970,3,Dudás István Komlói Bányász,Dudás István,Komlói Bányász,1776.6
10 000 m,M,1971,1,Mecser Lajos Salgótarjáni BTC,Mecser Lajos,Salgótarjáni BTC,1751.6
10 000 m,M,1971,2,Tóth Béla Újpesti Dózsa,Tóth Béla,Újpesti Dózsa,1760.4
10 000 m,M,1971,3,Szerényi János Bp. Vasas,Szerényi János,Bp. Vasas,1764.2
10 000 m,M,1972,1,Tóth Béla Újpesti Dózsa,Tóth Béla,Újpesti Dózsa,1774.4
10 000 m,M,1972,2,Mecser Lajos Salgótarjáni BTC,Mecser Lajos,Salgótarjáni BTC,1777.0
10 000 m,M,1972,3,Fancsali András Újpesti Dózsa,Fancsali András,Újpesti Dózsa,1779.0
10 000 m,M,1973,1,Tóth Béla Újpesti Dózsa,Tóth Béla,Újpesti Dózsa,1756.0
10 000 m,M,1973,2,Mecser Lajos Salgótarjáni BTC,Mecser Lajos,Salgótarjáni BTC,1759.4
10 000 m,M,1973,3,Babinyecz József Csepel SC,Babinyecz József,Csepel SC,1771.8
10 000 m,M,1974,1,Fancsali András Újpesti Dózsa,Fancsali András,Újpesti Dózsa,1729.6
10 000 m,M,1974,2,Mohácsi Péter MTK,Mohácsi Péter,MTK,1761.6
10 000 m,M,1974,3,Babinyecz József Csepel SC,Babinyecz József,Csepel SC,1772.0
10 000 m,M,1975,1,Mohácsi Péter MTK-VM,Mohácsi Péter,MTK-VM,1749.4
10 000 m,M,1975,2,Szekeres János Bp. Honvéd,Szekeres János,Bp. Honvéd,1751.8
10 000 m,M,1975,3,Kerékgyártó István Újpesti Dózsa,Kerékgyártó István,Újpesti Dózsa,1789.6
10 000 m,M,1976,1,Fancsali András Újpesti Dózsa,Fancsali András,Újpesti Dózsa,1713.4
10 000 m,M,1976,2,Mohácsi Péter MTK-VM,Mohácsi Péter,MTK-VM,1714.4
10 000 m,M,1976,3,Kerékjártó István Újpesti Dózsa,Kerékgyártó István,Újpesti Dózsa,1719.4
10 000 m,M,1977,1,Kerékjártó István Újpesti Dózsa,Kerékgyártó István,Újpesti Dózsa,1757.7
